SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  105.12,   67.72,  418.69,  220.34,  523.82,  288.06,2017200977,  811.88,   53.47,    4.78,   56.48,    7.97,  109.95,   12.75,2017287469,  122.70,    633.76,    300.82,    934.58
  108.74,   70.71,  434.11,  229.38,  542.85,  300.09,2135391990,  842.94,   52.21,    3.26,   55.44,    6.58,  107.64,    9.83,2135354921,  117.48,    650.50,    309.92,    960.42
  110.46,   71.02,  440.55,  231.87,  551.01,  302.89,2132571510,  853.91,   51.54,    2.11,   54.57,    5.40,  106.11,    7.51,2132641374,  113.63,    657.13,    310.40,    967.53
  108.73,   70.24,  434.27,  228.87,  543.00,  299.10,2132622150,  842.11,   51.21,    2.24,   54.30,    5.53,  105.51,    7.76,2132599457,  113.28,    648.52,    306.87,    955.39
  109.80,   70.80,  437.87,  230.71,  547.67,  301.51,2134772273,  849.18,   50.89,    2.13,   54.09,    5.44,  104.98,    7.57,2134948120,  112.55,    652.65,    309.08,    961.73
  108.91,   70.49,  434.48,  229.13,  543.39,  299.62,2132953274,  843.01,   52.06,    3.02,   55.25,    6.34,  107.32,    9.36,2132998354,  116.68,    650.71,    308.98,    959.69
  110.44,   71.07,  440.05,  231.75,  550.49,  302.81,2132954573,  853.30,   50.81,    2.02,   54.02,    5.32,  104.83,    7.34,2133136997,  112.17,    655.32,    310.15,    965.47
  126.36,   89.35,  489.23,  265.64,  615.59,  354.99,2133223060,  970.58,   71.93,   11.12,   74.43,   14.35,  146.36,   25.47,2133019254,  171.83,    761.95,    380.46,   1142.41
  111.42,   71.83,  443.22,  233.47,  554.64,  305.30,2132861409,  859.94,   54.23,    2.80,   57.58,    6.13,  111.81,    8.93,2132828820,  120.74,    666.45,    314.23,    980.68
  110.07,   71.14,  438.54,  231.07,  548.61,  302.21,2132928498,  850.82,   52.51,    2.66,   55.71,    5.96,  108.23,    8.63,2132858531,  116.85,    656.83,    310.84,    967.67
  110.24,   71.36,  439.21,  231.63,  549.45,  302.99,2134753647,  852.44,   52.43,    2.16,   55.59,    5.45,  108.03,    7.61,2134697891,  115.64,    657.48,    310.60,    968.08
  111.58,   71.48,  443.23,  232.99,  554.81,  304.47,2132663918,  859.28,   51.06,    1.98,   54.30,    5.31,  105.36,    7.28,2132634861,  112.64,    660.17,    311.75,    971.92
