router,2,3,4,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,5,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,4,2,6,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
bridge,5,5,7,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
firewall,1,1,3,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
router,2,3,4,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,5,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,4,2,6,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
bridge,5,5,7,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
firewall,1,1,3,30816,30816,30816,30816,0,30816,0,0,W,0,0,0,0,0,0,0,0
router,2,3,4,30816,30816,30816,30816,0,30816,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,5,30816,30816,30816,30816,0,30816,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,4,2,6,30816,30816,30816,30816,0,30816,0,0,W,0,0,0,0,0,0,0,0
