System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core2 (Socket 0)-EXEC,Core2 (Socket 0)-IPC,Core2 (Socket 0)-FREQ,Core2 (Socket 0)-AFREQ,Core2 (Socket 0)-L3MISS,Core2 (Socket 0)-L2MISS,Core2 (Socket 0)-L3HIT,Core2 (Socket 0)-L2HIT,Core2 (Socket 0)-L3MPI,Core2 (Socket 0)-L2MPI,Core2 (Socket 0)-L3OCC,Core2 (Socket 0)-C0res%,Core2 (Socket 0)-C1res%,Core2 (Socket 0)-C3res%,Core2 (Socket 0)-C6res%,Core2 (Socket 0)-C7res%,Core2 (Socket 0)-TEMP,Core2 (Socket 0)-INST,Core2 (Socket 0)-ACYC,Core2 (Socket 0)-TIME(ticks),Core2 (Socket 0)-PhysIPC,Core2 (Socket 0)-PhysIPC%,Core2 (Socket 0)-INSTnom,Core2 (Socket 0)-INSTnom%,-
2024-02-26,14:04:21.241,0.15,2.42,0.06,1.12,0.05,25.01,1.00,0.28,0.0000,0.0033, 12040,0.57,0.85,99,46,7622.33,3154.80,2599.31,4.83,120.81,0.29,7.33,0.04,1.54,0.02,1.19,0.02,3.06,0.99,0.73,0.0000,0.0016, 22840,0.83,0.02,98,42,1916.54,1245.76,2599.31,3.08,76.92,0.07,1.84,5.44,72.38,0.01,22.17,0.00,100.00,0.00,0.00,0.00,0.00,2.02,32.61,0.11,65.26,0.00,100.00,0.00,0.00,0.00,0.00,76.27,55.27,4.58 ,4.55 ,469833.59 ,0.00 ,3.00,3.00,0.24,1.52,0.16,1.12,0.01,3.79,1.00,0.19,0.0000,0.0062,   920,13.97,86.03,0.00,0.00,0.00,50,615.41,404.91,2599.31,3.04,75.99,0.47,11.84,
2024-02-26,14:04:22.241,0.15,2.38,0.06,1.12,0.03,26.67,1.00,0.35,0.0000,0.0033, 12400,0.52,0.80,99,45,7983.86,3359.99,2597.04,4.75,118.81,0.31,7.69,0.03,1.53,0.02,1.22,0.01,3.15,1.00,0.40,0.0000,0.0020, 23800,0.78,0.01,98,42,1575.12,1028.12,2597.04,3.06,76.60,0.06,1.52,5.80,76.61,0.02,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.32,0.15,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.84,52.65,4.57 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.24,1.50,0.16,1.12,0.01,3.97,1.00,0.19,0.0000,0.0064,   880,14.15,85.85,0.00,0.00,0.00,50,615.45,409.81,2597.04,3.00,75.09,0.47,11.85,
2024-02-26,14:04:23.241,0.15,2.36,0.06,1.12,0.04,27.10,1.00,0.34,0.0000,0.0035, 12440,0.49,0.76,99,45,7814.02,3317.41,2596.84,4.71,117.77,0.30,7.52,0.03,1.44,0.02,1.22,0.01,3.14,1.00,0.41,0.0000,0.0020, 24000,0.77,0.01,98,42,1540.49,1070.74,2596.84,2.88,71.94,0.06,1.48,5.73,76.69,0.02,17.56,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.31,0.16,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.84,52.81,4.56 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.24,1.53,0.16,1.12,0.01,4.00,1.00,0.19,0.0000,0.0065,  1000,13.96,86.04,0.00,0.00,0.00,48,618.10,404.23,2596.84,3.06,76.45,0.48,11.90,
2024-02-26,14:04:24.241,0.15,2.31,0.06,1.12,0.06,26.77,1.00,0.34,0.0000,0.0036, 13560,0.46,0.74,99,45,7539.30,3260.03,2596.98,4.63,115.63,0.29,7.26,0.03,1.52,0.02,1.22,0.03,3.22,0.99,0.40,0.0000,0.0022, 24000,0.77,0.01,98,42,1499.55,988.18,2596.98,3.03,75.87,0.06,1.44,5.63,76.86,0.02,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.50,0.15,69.79,0.00,100.00,0.00,0.00,0.00,0.00,78.87,52.80,4.55 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.24,1.55,0.15,1.12,0.01,3.90,1.00,0.19,0.0000,0.0064,  1040,13.64,86.36,0.00,0.00,0.00,49,613.67,395.14,2596.98,3.11,77.65,0.47,11.82,
2024-02-26,14:04:25.241,0.15,2.31,0.06,1.12,0.05,28.11,1.00,0.34,0.0000,0.0036, 13000,0.44,0.72,99,45,7719.96,3344.70,2596.94,4.62,115.41,0.30,7.43,0.03,1.52,0.02,1.22,0.01,3.12,1.00,0.41,0.0000,0.0020, 24040,0.77,0.01,98,42,1560.50,1027.45,2596.94,3.04,75.94,0.06,1.50,5.77,76.84,0.02,17.37,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.59,0.14,69.64,0.00,100.00,0.00,0.00,0.00,0.00,78.93,52.81,4.53 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.25,1.58,0.16,1.12,0.01,4.06,1.00,0.19,0.0000,0.0063,  1200,14.00,86.00,0.00,0.00,0.00,48,640.07,405.61,2596.94,3.16,78.90,0.49,12.32,
2024-02-26,14:04:26.241,0.15,2.25,0.07,1.12,0.08,27.60,1.00,0.34,0.0000,0.0036, 14320,0.47,0.77,98,45,7674.67,3417.92,2597.01,4.49,112.27,0.30,7.39,0.03,1.38,0.02,1.20,0.14,3.76,0.96,0.43,0.0001,0.0024, 25120,0.87,0.05,95,41,1590.14,1156.26,2597.01,2.75,68.76,0.06,1.53,5.90,77.80,0.08,16.22,0.00,100.00,0.00,0.00,0.00,0.00,1.85,31.06,0.18,66.90,0.00,100.00,0.00,0.00,0.00,0.00,79.14,53.53,4.55 ,4.58 ,0.33 ,0.33 ,3.00,3.00,0.24,1.54,0.16,1.12,0.01,3.98,1.00,0.19,0.0000,0.0064,  1600,13.99,86.01,0.00,0.00,0.00,49,624.80,405.31,2597.01,3.08,77.08,0.48,12.03,
2024-02-26,14:04:27.241,0.15,2.33,0.06,1.12,0.04,29.02,1.00,0.33,0.0000,0.0038, 14680,0.40,0.70,99,44,7652.61,3282.64,2597.07,4.66,116.56,0.29,7.37,0.03,1.61,0.02,1.23,0.02,3.13,0.99,0.40,0.0000,0.0020, 24760,0.82,0.01,98,42,1556.22,966.23,2597.07,3.22,80.53,0.06,1.50,5.67,76.62,0.01,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.51,28.33,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,79.01,52.82,4.49 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.25,1.61,0.16,1.12,0.00,4.10,1.00,0.19,0.0000,0.0063,  1640,13.94,86.06,0.00,0.00,0.00,49,648.12,403.79,2597.07,3.21,80.25,0.50,12.48,
2024-02-26,14:04:28.241,0.14,2.24,0.06,1.12,0.03,28.57,1.00,0.33,0.0000,0.0038, 15120,0.39,0.69,99,44,7422.57,3313.40,2596.94,4.48,112.01,0.29,7.15,0.03,1.46,0.02,1.22,0.01,3.09,1.00,0.41,0.0000,0.0020, 24680,0.78,0.01,98,41,1535.03,1050.41,2596.94,2.92,73.07,0.06,1.48,5.72,76.58,0.01,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.19,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,79.02,52.79,4.50 ,4.52 ,0.23 ,0.33 ,3.00,3.00,0.25,1.60,0.15,1.12,0.00,4.03,1.00,0.19,0.0000,0.0063,  1880,13.80,86.20,0.00,0.00,0.00,48,641.28,399.72,2596.94,3.21,80.22,0.49,12.35,
2024-02-26,14:04:29.241,0.15,2.28,0.06,1.12,0.04,29.58,1.00,0.33,0.0000,0.0039, 14880,0.39,0.69,99,44,7669.42,3357.19,2596.88,4.57,114.22,0.30,7.38,0.03,1.54,0.02,1.22,0.01,3.16,1.00,0.40,0.0000,0.0020, 24600,0.77,0.01,98,41,1576.42,1023.22,2596.88,3.08,77.03,0.06,1.52,5.80,76.51,0.02,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.19,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,79.00,52.85,4.51 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.25,1.61,0.16,1.12,0.00,4.16,1.00,0.19,0.0000,0.0063,  1800,14.13,85.87,0.00,0.00,0.00,48,660.39,409.35,2596.88,3.23,80.66,0.51,12.72,
2024-02-26,14:04:30.241,0.15,2.27,0.06,1.12,0.05,29.44,1.00,0.33,0.0000,0.0039, 15080,0.38,0.68,99,44,7571.89,3329.15,2596.82,4.55,113.72,0.29,7.29,0.03,1.52,0.02,1.22,0.02,3.15,0.99,0.43,0.0000,0.0020, 24320,0.76,0.01,98,42,1567.05,1031.27,2596.82,3.04,75.98,0.06,1.51,5.75,76.54,0.05,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.27,0.15,69.95,0.00,100.00,0.00,0.00,0.00,0.00,79.08,52.87,4.49 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.25,1.62,0.16,1.12,0.00,4.14,1.00,0.19,0.0000,0.0063,  1800,13.99,86.01,0.00,0.00,0.00,48,656.73,405.07,2596.82,3.24,81.06,0.51,12.64,
