System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core1 (Socket 0)-EXEC,Core1 (Socket 0)-IPC,Core1 (Socket 0)-FREQ,Core1 (Socket 0)-AFREQ,Core1 (Socket 0)-L3MISS,Core1 (Socket 0)-L2MISS,Core1 (Socket 0)-L3HIT,Core1 (Socket 0)-L2HIT,Core1 (Socket 0)-L3MPI,Core1 (Socket 0)-L2MPI,Core1 (Socket 0)-L3OCC,Core1 (Socket 0)-C0res%,Core1 (Socket 0)-C1res%,Core1 (Socket 0)-C3res%,Core1 (Socket 0)-C6res%,Core1 (Socket 0)-C7res%,Core1 (Socket 0)-TEMP,Core1 (Socket 0)-INST,Core1 (Socket 0)-ACYC,Core1 (Socket 0)-TIME(ticks),Core1 (Socket 0)-PhysIPC,Core1 (Socket 0)-PhysIPC%,Core1 (Socket 0)-INSTnom,Core1 (Socket 0)-INSTnom%,-
2024-03-04,12:32:01.736,0.15,2.44,0.06,1.12,0.06,17.86,1.00,0.39,0.0000,0.0023, 14200,0.69,0.69,99,49,7918.92,3238.94,2601.06,4.89,122.25,0.30,7.61,0.03,1.57,0.02,1.22,0.02,2.33,0.99,0.39,0.0000,0.0015, 22800,0.54,0.02,97,48,1591.24,1012.25,2601.06,3.14,78.60,0.06,1.53,5.58,77.09,0.00,17.32,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.50,0.14,69.77,0.00,100.00,0.00,0.00,0.00,0.00,77.62,52.07,4.58 ,4.42 ,485782.30 ,0.00 ,3.00,3.00,0.37,2.45,0.15,1.12,0.00,3.33,1.00,0.41,0.0000,0.0035,   200,13.58,86.42,0.00,0.00,0.00,50,963.29,393.91,2601.06,4.89,122.27,0.74,18.52,
2024-03-04,12:32:02.736,0.15,2.30,0.07,1.12,0.08,18.08,1.00,0.39,0.0000,0.0023, 15160,0.67,0.68,99,49,7957.31,3455.44,2595.48,4.61,115.14,0.31,7.66,0.03,1.56,0.02,1.22,0.01,2.41,1.00,0.39,0.0000,0.0015, 22840,0.51,0.01,96,48,1601.23,1025.38,2595.48,3.12,78.08,0.06,1.54,5.97,76.72,0.01,17.30,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.34,0.14,69.90,0.00,100.00,0.00,0.00,0.00,0.00,77.64,51.86,4.55 ,4.38 ,0.10 ,0.33 ,3.00,3.00,0.37,2.40,0.16,1.12,0.00,3.37,1.00,0.41,0.0000,0.0035,   200,13.98,86.02,0.00,0.00,0.00,50,970.65,404.66,2595.48,4.80,119.93,0.75,18.70,
2024-03-04,12:32:03.737,0.15,2.25,0.07,1.12,0.14,18.11,0.99,0.40,0.0000,0.0023, 14080,0.69,0.70,98,49,7924.82,3528.43,2599.62,4.49,112.30,0.30,7.62,0.03,1.36,0.02,1.20,0.03,2.67,0.99,0.41,0.0000,0.0017, 23600,0.53,0.02,93,49,1538.70,1134.28,2599.62,2.71,67.83,0.06,1.48,6.08,77.09,0.01,16.82,0.00,100.00,0.00,0.00,0.00,0.00,1.82,31.18,0.23,66.77,0.00,100.00,0.00,0.00,0.00,0.00,77.53,52.73,4.55 ,4.42 ,0.00 ,0.33 ,3.00,3.00,0.38,2.44,0.16,1.12,0.00,3.29,1.00,0.41,0.0000,0.0033,   160,14.01,85.99,0.00,0.00,0.00,50,991.59,406.36,2599.62,4.88,122.01,0.76,19.07,
2024-03-04,12:32:04.737,0.15,2.35,0.07,1.12,0.11,18.80,0.99,0.39,0.0000,0.0023, 16200,0.62,0.67,98,47,8046.79,3427.05,2598.53,4.70,117.40,0.31,7.74,0.03,1.48,0.02,1.21,0.03,2.37,0.99,0.39,0.0000,0.0015, 22800,0.56,0.02,95,48,1584.05,1067.91,2598.53,2.97,74.17,0.06,1.52,5.91,77.67,0.02,16.40,0.00,100.00,0.00,0.00,0.00,0.00,1.70,32.04,0.20,66.06,0.00,100.00,0.00,0.00,0.00,0.00,77.98,52.81,4.53 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.35,2.28,0.15,1.12,0.00,3.43,1.00,0.42,0.0000,0.0037,   360,13.84,86.16,0.00,0.00,0.00,50,915.20,401.25,2598.53,4.56,114.05,0.70,17.61,
2024-03-04,12:32:05.737,0.15,2.41,0.06,1.12,0.05,19.31,1.00,0.37,0.0000,0.0024, 16720,0.56,0.61,99,48,7998.13,3324.78,2595.05,4.81,120.28,0.31,7.70,0.03,1.48,0.02,1.21,0.02,2.36,0.99,0.40,0.0000,0.0015, 22960,0.52,0.01,97,47,1611.39,1086.34,2595.05,2.97,74.17,0.06,1.55,5.74,77.14,0.01,17.11,0.00,100.00,0.00,0.00,0.00,0.00,1.73,28.53,0.15,69.60,0.00,100.00,0.00,0.00,0.00,0.00,78.26,52.02,4.50 ,4.40 ,0.20 ,0.33 ,3.00,3.00,0.38,2.47,0.15,1.12,0.00,3.62,1.00,0.39,0.0000,0.0037,   280,13.77,86.23,0.00,0.00,0.00,49,983.83,398.42,2595.05,4.94,123.47,0.76,18.96,
2024-03-04,12:32:06.737,0.16,2.50,0.06,1.12,0.05,20.07,1.00,0.38,0.0000,0.0024, 17120,0.56,0.60,99,48,8281.55,3317.86,2596.45,4.99,124.80,0.32,7.97,0.03,1.68,0.02,1.23,0.01,2.21,1.00,0.39,0.0000,0.0014, 22880,0.52,0.01,96,47,1580.33,941.32,2596.45,3.36,83.94,0.06,1.52,5.73,77.36,0.01,16.91,0.00,100.00,0.00,0.00,0.00,0.00,1.48,28.90,0.13,69.50,0.00,100.00,0.00,0.00,0.00,0.00,78.24,51.93,4.49 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.39,2.50,0.16,1.12,0.00,3.77,1.00,0.39,0.0000,0.0037,   200,14.03,85.97,0.00,0.00,0.00,50,1016.79,406.17,2596.45,5.01,125.17,0.78,19.58,
2024-03-04,12:32:07.738,0.16,2.41,0.07,1.12,0.06,19.99,1.00,0.37,0.0000,0.0024, 16800,0.55,0.60,99,47,8163.57,3393.35,2599.03,4.81,120.29,0.31,7.85,0.03,1.48,0.02,1.21,0.01,2.37,0.99,0.39,0.0000,0.0015, 23000,0.52,0.01,97,47,1592.36,1076.38,2599.03,2.96,73.97,0.06,1.53,5.85,76.72,0.02,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.19,0.13,69.98,0.00,100.00,0.00,0.00,0.00,0.00,78.31,52.01,4.49 ,4.41 ,0.17 ,0.33 ,3.00,3.00,0.39,2.47,0.16,1.12,0.00,3.74,1.00,0.39,0.0000,0.0037,   200,14.02,85.98,0.00,0.00,0.00,49,1005.30,406.51,2599.03,4.95,123.65,0.77,19.34,
2024-03-04,12:32:08.737,0.15,2.48,0.06,1.12,0.06,19.66,1.00,0.37,0.0000,0.0024, 16840,0.56,0.60,99,47,8042.96,3246.08,2597.74,4.96,123.89,0.31,7.74,0.03,1.59,0.02,1.22,0.01,2.33,1.00,0.39,0.0000,0.0015, 22920,0.50,0.01,96,46,1598.92,1003.70,2597.74,3.19,79.65,0.06,1.54,5.60,76.97,0.00,17.42,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.36,0.13,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.25,52.01,4.48 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.38,2.50,0.15,1.12,0.00,3.69,1.00,0.39,0.0000,0.0037,   480,13.64,86.36,0.00,0.00,0.00,49,988.11,395.36,2597.74,5.00,124.96,0.76,19.02,
2024-03-04,12:32:09.738,0.15,2.31,0.07,1.12,0.09,19.56,1.00,0.37,0.0000,0.0024, 17760,0.56,0.60,99,47,8028.48,3468.69,2599.83,4.63,115.73,0.31,7.72,0.03,1.57,0.02,1.22,0.01,2.43,1.00,0.39,0.0000,0.0015, 23280,0.49,0.01,96,46,1618.15,1030.56,2599.83,3.14,78.51,0.06,1.56,5.98,76.56,0.00,17.45,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.23,0.12,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.18,52.07,4.47 ,4.39 ,432994.11 ,384820.07 ,3.00,3.00,0.37,2.38,0.16,1.12,0.00,3.63,1.00,0.39,0.0000,0.0038,   360,14.03,85.97,0.00,0.00,0.00,49,968.12,406.99,2599.83,4.76,118.94,0.74,18.62,
2024-03-04,12:32:10.738,0.16,2.40,0.07,1.12,0.05,20.30,1.00,0.37,0.0000,0.0025, 17720,0.53,0.58,99,46,8185.26,3403.59,2596.98,4.81,120.24,0.32,7.88,0.03,1.46,0.02,1.21,0.01,2.32,1.00,0.39,0.0000,0.0015, 23320,0.49,0.01,96,46,1562.26,1068.62,2596.98,2.92,73.10,0.06,1.50,5.88,76.92,0.01,17.20,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.38,0.13,69.80,0.00,100.00,0.00,0.00,0.00,0.00,78.43,51.98,4.46 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.39,2.45,0.16,1.12,0.00,3.80,1.00,0.39,0.0000,0.0038,   200,14.11,85.89,0.00,0.00,0.00,48,1002.87,408.81,2596.98,4.91,122.66,0.77,19.31,
