SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  160.33,  215.60,  566.39,  414.99,  726.72,  630.59,2048452026, 1357.30,  231.61,   15.33,  227.66,   12.09,  459.27,   27.41,2049190802,  486.69,   1185.99,    658.00,   1843.99
  141.67,  223.71,  504.03,  406.33,  645.69,  630.04,2133555848, 1275.73,  247.17,   13.22,  243.08,    9.73,  490.25,   22.95,2132766072,  513.20,   1135.94,    652.99,   1788.93
  121.89,  195.66,  442.47,  361.02,  564.36,  556.68,2132534208, 1121.05,  218.11,    5.36,  215.33,    1.98,  433.44,    7.33,2132549508,  440.77,    997.80,    564.01,   1561.82
  121.87,  194.83,  443.53,  360.61,  565.40,  555.44,2133225396, 1120.83,  211.72,    4.92,  208.07,    1.54,  419.78,    6.46,2133164738,  426.25,    985.18,    561.90,   1547.08
  121.52,  193.11,  441.73,  358.27,  563.24,  551.39,2133702586, 1114.63,  209.46,    5.10,  206.17,    1.71,  415.63,    6.80,2133667295,  422.43,    978.87,    558.19,   1537.06
  121.87,  192.48,  442.24,  357.30,  564.11,  549.78,2133379215, 1113.89,  212.35,    6.57,  208.98,    3.18,  421.33,    9.75,2133347226,  431.08,    985.44,    559.53,   1544.97
  120.40,  190.57,  437.97,  354.30,  558.37,  544.87,2134130682, 1103.24,  212.29,    5.24,  209.83,    1.86,  422.12,    7.10,2134331005,  429.22,    980.49,    551.97,   1532.46
  126.35,  200.46,  456.92,  370.11,  583.28,  570.57,2131562361, 1153.85,  231.12,   12.68,  227.84,    9.29,  458.96,   21.97,2131494493,  480.93,   1042.23,    592.54,   1634.77
  120.22,  189.88,  437.70,  353.57,  557.92,  543.45,2134565932, 1101.37,  225.22,    6.58,  221.10,    3.21,  446.32,    9.79,2134681884,  456.11,   1004.24,    553.24,   1557.48
  120.46,  189.67,  438.44,  353.70,  558.90,  543.37,2133152822, 1102.27,  216.70,    5.40,  213.93,    2.00,  430.63,    7.40,2133011593,  438.04,    989.53,    550.77,   1540.30
  119.96,  188.14,  437.39,  351.88,  557.36,  540.02,2133910040, 1097.38,  211.75,    5.40,  209.44,    2.03,  421.20,    7.43,2133929013,  428.62,    978.55,    547.45,   1526.00
  130.44,  204.33,  467.22,  377.07,  597.66,  581.41,2131905834, 1179.06,  253.06,   23.17,  249.68,   19.80,  502.74,   42.97,2131908315,  545.71,   1100.40,    624.38,   1724.77
