SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  135.44,  246.08,  475.31,  417.41,  610.75,  663.49,1936618891, 1274.24,  273.16,   17.54,  276.52,   20.54,  549.68,   38.08,1936825044,  587.76,   1160.43,    701.57,   1862.00
  122.48,  229.89,  435.98,  393.14,  558.46,  623.02,2133250020, 1181.48,  263.07,    2.57,  265.97,    5.81,  529.04,    8.39,2133082912,  537.42,   1087.49,    631.41,   1718.90
  120.85,  224.39,  430.51,  385.44,  551.35,  609.82,2132894833, 1161.18,  251.99,    2.22,  255.31,    5.51,  507.30,    7.73,2132924554,  515.03,   1058.66,    617.56,   1676.21
  118.07,  217.11,  421.12,  375.27,  539.18,  592.38,2132806340, 1131.56,  248.14,    3.31,  252.07,    6.61,  500.21,    9.92,2132913792,  510.13,   1039.39,    602.30,   1641.70
  117.91,  217.90,  421.96,  376.64,  539.87,  594.54,2133091407, 1134.41,  255.25,    3.38,  260.21,    6.67,  515.47,   10.05,2133110519,  525.52,   1055.33,    604.60,   1659.93
  116.38,  214.33,  416.66,  371.01,  533.04,  585.35,2132803819, 1118.39,  254.29,    3.36,  259.44,    6.64,  513.73,   10.00,2132797189,  523.73,   1046.77,    595.35,   1642.11
  116.60,  214.32,  417.71,  371.49,  534.31,  585.81,2134831137, 1120.13,  254.62,    3.20,  259.08,    6.47,  513.70,    9.67,2134862137,  523.36,   1048.01,    595.48,   1643.49
  115.86,  212.13,  413.92,  367.77,  529.78,  579.90,2132750192, 1109.68,  248.05,    2.09,  251.92,    5.36,  499.97,    7.45,2132688985,  507.42,   1029.75,    587.35,   1617.10
  116.26,  213.21,  416.40,  370.13,  532.66,  583.34,2132618725, 1116.00,  245.11,    2.12,  248.80,    5.40,  493.91,    7.52,2132561492,  501.43,   1026.57,    590.85,   1617.43
  116.01,  212.50,  415.35,  368.62,  531.36,  581.11,2134691499, 1112.47,  244.70,    2.78,  248.51,    6.07,  493.21,    8.85,2134705562,  502.06,   1024.57,    589.97,   1614.54
  128.74,  239.20,  453.79,  407.04,  582.53,  646.24,2132786090, 1228.77,  278.05,   14.20,  283.12,   17.71,  561.17,   31.91,2132848153,  593.08,   1143.70,    678.15,   1821.85
  114.13,  216.60,  407.29,  370.27,  521.41,  586.87,2132947410, 1108.28,  274.02,    6.49,  278.53,    9.75,  552.56,   16.24,2132865516,  568.80,   1073.97,    603.11,   1677.08
