System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-27,21:42:06.031,0.15,2.31,0.07,1.12,0.08,15.07,0.99,0.41,0.0000,0.0019, 13720,0.64,0.57,99,49,8021.65,3469.32,2600.18,4.62,115.61,0.31,7.71,0.03,1.45,0.02,1.21,0.04,2.24,0.98,0.44,0.0000,0.0014, 23200,0.41,0.02,95,47,1583.43,1090.22,2600.18,2.90,72.62,0.06,1.52,5.98,76.37,0.00,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.73,28.77,0.13,69.38,0.00,100.00,0.00,0.00,0.00,0.00,76.60,52.09,4.55 ,4.41 ,1112136.31 ,1123234.75 ,3.00,3.00,0.46,2.84,0.16,1.12,0.00,1.48,1.00,0.14,0.0000,0.0012,   200,14.37,85.63,0.00,0.00,0.00,52,1183.73,416.72,2600.18,5.68,142.03,0.91,22.76,
2024-02-27,21:42:07.031,0.15,2.34,0.06,1.12,0.11,15.41,0.99,0.40,0.0000,0.0020, 15040,0.71,0.65,98,48,7851.51,3357.20,2598.03,4.68,116.94,0.30,7.56,0.03,1.51,0.02,1.21,0.07,2.41,0.97,0.40,0.0000,0.0014, 22520,0.53,0.05,90,47,1668.68,1103.72,2598.03,3.02,75.59,0.06,1.61,5.79,77.63,0.05,16.53,0.00,100.00,0.00,0.00,0.00,0.00,1.76,31.81,0.23,66.20,0.00,100.00,0.00,0.00,0.00,0.00,77.24,53.05,4.56 ,4.44 ,0.03 ,0.10 ,3.00,3.00,0.44,2.86,0.15,1.12,0.00,1.53,1.00,0.14,0.0000,0.0013,   200,13.78,86.22,0.00,0.00,0.00,52,1140.17,399.31,2598.03,5.71,142.77,0.88,21.94,
2024-02-27,21:42:08.031,0.16,2.47,0.06,1.12,0.06,16.72,1.00,0.39,0.0000,0.0020, 15760,0.63,0.59,99,48,8168.34,3308.08,2597.78,4.94,123.46,0.31,7.86,0.03,1.58,0.02,1.22,0.01,1.97,0.99,0.39,0.0000,0.0012, 23000,0.45,0.01,95,46,1598.35,1012.82,2597.78,3.16,78.91,0.06,1.54,5.71,76.75,0.00,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.33,0.11,69.96,0.00,100.00,0.00,0.00,0.00,0.00,77.69,52.03,4.54 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.44,2.85,0.15,1.12,0.00,1.77,1.00,0.15,0.0000,0.0016,   120,13.81,86.19,0.00,0.00,0.00,51,1141.22,400.15,2597.78,5.70,142.60,0.88,21.97,
2024-02-27,21:42:09.032,0.16,2.42,0.06,1.12,0.08,16.72,1.00,0.39,0.0000,0.0020, 16200,0.62,0.59,99,48,8177.27,3373.72,2597.48,4.85,121.19,0.31,7.87,0.03,1.57,0.02,1.22,0.03,2.16,0.99,0.39,0.0000,0.0013, 23280,0.44,0.01,95,46,1657.29,1056.95,2597.48,3.14,78.40,0.06,1.60,5.82,76.74,0.00,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.36,0.11,69.86,0.00,100.00,0.00,0.00,0.00,0.00,77.77,52.10,4.52 ,4.40 ,0.03 ,0.10 ,3.00,3.00,0.44,2.82,0.16,1.12,0.01,1.77,1.00,0.15,0.0000,0.0015,   240,14.01,85.99,0.00,0.00,0.00,51,1142.76,405.82,2597.48,5.63,140.80,0.88,22.00,
2024-02-27,21:42:10.032,0.16,2.51,0.06,1.12,0.06,17.28,1.00,0.39,0.0000,0.0021, 16000,0.62,0.58,99,49,8325.53,3314.89,2597.61,5.02,125.58,0.32,8.01,0.03,1.60,0.02,1.22,0.01,2.10,0.99,0.39,0.0000,0.0013, 23280,0.43,0.01,95,46,1642.96,1026.19,2597.61,3.20,80.05,0.06,1.58,5.72,76.79,0.03,17.46,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.45,0.14,69.80,0.00,100.00,0.00,0.00,0.00,0.00,77.86,52.11,4.53 ,4.39 ,0.00 ,0.00 ,3.00,3.00,0.45,2.87,0.16,1.12,0.00,1.84,1.00,0.15,0.0000,0.0016,   240,14.00,86.00,0.00,0.00,0.00,51,1164.02,405.59,2597.61,5.74,143.50,0.90,22.41,
2024-02-27,21:42:11.032,0.15,2.42,0.06,1.12,0.07,16.57,1.00,0.39,0.0000,0.0021, 16520,0.62,0.57,99,47,7971.77,3290.17,2597.68,4.85,121.15,0.31,7.67,0.03,1.57,0.02,1.21,0.01,2.10,0.99,0.38,0.0000,0.0013, 23320,0.44,0.01,95,46,1617.20,1029.74,2597.68,3.14,78.52,0.06,1.56,5.68,77.04,0.01,17.27,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.71,0.14,69.52,0.00,100.00,0.00,0.00,0.00,0.00,77.88,52.17,4.53 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.43,2.81,0.15,1.12,0.00,1.76,1.00,0.15,0.0000,0.0016,   200,13.59,86.41,0.00,0.00,0.00,51,1106.64,393.87,2597.68,5.62,140.48,0.85,21.30,
2024-02-27,21:42:12.032,0.16,2.50,0.06,1.12,0.06,17.29,1.00,0.39,0.0000,0.0021, 15960,0.61,0.57,99,48,8273.48,3315.56,2597.56,4.99,124.77,0.32,7.96,0.03,1.62,0.02,1.22,0.01,2.07,1.00,0.38,0.0000,0.0013, 24040,0.43,0.01,95,46,1626.90,1005.45,2597.56,3.24,80.90,0.06,1.57,5.72,76.73,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.29,0.17,69.95,0.00,100.00,0.00,0.00,0.00,0.00,77.87,52.15,4.52 ,4.39 ,0.03 ,0.13 ,3.00,3.00,0.45,2.85,0.16,1.12,0.00,1.84,1.00,0.15,0.0000,0.0016,    80,14.00,86.00,0.00,0.00,0.00,51,1157.27,405.49,2597.56,5.71,142.70,0.89,22.28,
2024-02-27,21:42:13.033,0.16,2.44,0.06,1.12,0.05,17.07,1.00,0.39,0.0000,0.0021, 17480,0.61,0.57,99,47,8188.95,3355.94,2597.42,4.88,122.01,0.32,7.88,0.03,1.55,0.02,1.22,0.02,2.15,0.99,0.41,0.0000,0.0013, 23520,0.43,0.01,95,45,1622.60,1048.53,2597.42,3.09,77.37,0.06,1.56,5.79,76.54,0.00,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.24,0.14,69.96,0.00,100.00,0.00,0.00,0.00,0.00,77.87,52.19,4.53 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.44,2.81,0.16,1.12,0.00,1.82,1.00,0.15,0.0000,0.0016,   200,13.99,86.01,0.00,0.00,0.00,51,1136.77,405.16,2597.42,5.61,140.29,0.88,21.88,
2024-02-27,21:42:14.032,0.16,2.47,0.06,1.12,0.07,17.02,1.00,0.38,0.0000,0.0021, 17160,0.61,0.56,99,46,8132.60,3292.89,2594.97,4.94,123.49,0.31,7.83,0.03,1.64,0.02,1.22,0.01,2.10,1.00,0.39,0.0000,0.0013, 24240,0.43,0.01,95,46,1664.80,1012.22,2594.97,3.29,82.24,0.06,1.60,5.69,76.62,0.01,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.30,0.15,69.96,0.00,100.00,0.00,0.00,0.00,0.00,77.84,52.16,4.52 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.44,2.83,0.15,1.12,0.00,1.82,1.00,0.15,0.0000,0.0016,   120,13.84,86.16,0.00,0.00,0.00,50,1132.45,400.72,2594.97,5.65,141.30,0.87,21.82,
