,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-27,21:42:06.015,  134.57,  188.74,  493.86,  367.53,,,,,  628.43,  556.27,1835193376, 1184.71,  203.48,   10.12,  201.95,    7.29,,,,,  405.43,   17.41,1835318842,  422.84,   1033.87,    573.68,   1607.55
2024-02-27,21:42:07.015,  152.76,  225.39,  558.57,  428.71,,,,,  711.33,  654.10,2133207294, 1365.43,  263.61,   26.69,  261.67,   23.43,,,,,  525.27,   50.12,2133169466,  575.39,   1236.60,    704.22,   1940.82
2024-02-27,21:42:08.015,  132.44,  203.33,  496.71,  389.61,,,,,  629.15,  592.93,2132772089, 1222.08,  229.04,    7.01,  225.53,    3.58,,,,,  454.57,   10.59,2132823831,  465.16,   1083.72,    603.52,   1687.24
2024-02-27,21:42:09.015,  131.25,  200.66,  492.65,  385.87,,,,,  623.90,  586.52,2132762115, 1210.42,  222.89,    6.75,  219.22,    3.34,,,,,  442.10,   10.09,2132723987,  452.19,   1066.00,    596.61,   1662.62
2024-02-27,21:42:10.016,  129.74,  196.99,  487.83,  380.63,,,,,  617.57,  577.62,2135025531, 1195.18,  217.33,    6.22,  214.38,    2.83,,,,,  431.71,    9.06,2135034273,  440.77,   1049.28,    586.67,   1635.95
2024-02-27,21:42:11.016,  129.07,  195.39,  486.40,  378.40,,,,,  615.48,  573.80,2132874284, 1189.28,  219.96,    7.33,  217.15,    3.91,,,,,  437.11,   11.24,2132887016,  448.35,   1052.59,    585.04,   1637.63
2024-02-27,21:42:12.015,  128.85,  194.66,  485.13,  377.14,,,,,  613.98,  571.80,2132731291, 1185.78,  219.58,    6.39,  215.81,    3.02,,,,,  435.39,    9.41,2132743105,  444.80,   1049.36,    581.22,   1630.58
2024-02-27,21:42:13.015,  128.48,  193.32,  483.50,  375.29,,,,,  611.98,  568.60,2132695357, 1180.59,  218.89,    6.30,  215.71,    2.88,,,,,  434.61,    9.18,2132689163,  443.79,   1046.59,    577.78,   1624.37
2024-02-27,21:42:14.016,  128.30,  191.80,  482.85,  373.49,,,,,  611.15,  565.29,2134880150, 1176.44,  218.54,    7.19,  216.42,    3.78,,,,,  434.96,   10.97,2134861279,  445.93,   1046.11,    576.26,   1622.37
2024-02-27,21:42:15.016,  127.51,  192.11,  480.52,  372.92,,,,,  608.04,  565.03,2132644905, 1173.07,  221.53,    7.02,  219.15,    3.65,,,,,  440.67,   10.67,2132596603,  451.34,   1048.71,    575.70,   1624.42
2024-02-27,21:42:16.016,  127.23,  191.75,  479.03,  371.70,,,,,  606.26,  563.46,2132713330, 1169.72,  218.30,    6.24,  215.68,    2.85,,,,,  433.98,    9.09,2132627389,  443.06,   1040.23,    572.55,   1612.78
