System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-27,09:18:30.676,0.15,2.37,0.06,1.12,0.08,15.37,0.99,0.40,0.0000,0.0020, 20640,0.73,0.65,99,48,7844.51,3313.86,2599.55,4.73,118.36,0.30,7.54,0.03,1.60,0.02,1.22,0.03,2.15,0.99,0.39,0.0000,0.0013, 24480,0.46,0.02,96,47,1628.89,1018.82,2599.55,3.20,79.94,0.06,1.57,5.71,76.64,0.01,17.63,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.65,0.12,69.62,0.00,100.00,0.00,0.00,0.00,0.00,76.82,52.09,4.57 ,4.38 ,637998.69 ,641909.04 ,3.00,3.00,0.21,1.36,0.16,1.12,0.04,2.28,0.98,0.23,0.0001,0.0042,  6160,13.93,86.07,0.00,0.00,0.00,51,547.47,403.83,2599.55,2.71,67.78,0.42,10.53,
2024-02-27,09:18:31.676,0.15,2.41,0.06,1.12,0.07,15.73,1.00,0.39,0.0000,0.0020, 21080,0.72,0.63,99,47,7882.51,3264.65,2597.43,4.83,120.73,0.30,7.59,0.03,1.60,0.02,1.22,0.01,2.06,1.00,0.39,0.0000,0.0012, 24200,0.44,0.01,96,47,1658.64,1035.17,2597.43,3.20,80.11,0.06,1.60,5.63,77.02,0.04,17.31,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.30,0.18,69.89,0.00,100.00,0.00,0.00,0.00,0.00,76.95,51.98,4.58 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.22,1.43,0.16,1.12,0.04,2.33,0.98,0.20,0.0001,0.0040,  6080,13.90,86.10,0.00,0.00,0.00,51,574.70,402.64,2597.43,2.85,71.37,0.44,11.06,
2024-02-27,09:18:32.676,0.15,2.31,0.07,1.12,0.10,15.60,0.99,0.39,0.0000,0.0020, 20920,0.72,0.63,99,47,7843.35,3397.14,2597.10,4.62,115.44,0.30,7.55,0.03,1.58,0.02,1.22,0.01,2.01,1.00,0.40,0.0000,0.0012, 24320,0.43,0.01,95,46,1652.35,1047.39,2597.10,3.16,78.88,0.06,1.59,5.86,77.13,0.01,16.99,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.35,0.14,69.86,0.00,100.00,0.00,0.00,0.00,0.00,77.09,52.00,4.58 ,4.38 ,0.13 ,0.33 ,3.00,3.00,0.22,1.39,0.16,1.12,0.04,2.29,0.98,0.20,0.0001,0.0041,  5720,14.05,85.95,0.00,0.00,0.00,51,564.77,406.91,2597.10,2.78,69.40,0.43,10.87,
2024-02-27,09:18:33.676,0.15,2.44,0.06,1.12,0.07,15.82,1.00,0.39,0.0000,0.0020, 21040,0.69,0.61,99,46,7861.17,3222.69,2597.11,4.88,121.97,0.30,7.57,0.03,1.63,0.02,1.22,0.01,2.13,1.00,0.38,0.0000,0.0013, 24800,0.42,0.01,96,46,1602.71,985.90,2597.11,3.25,81.28,0.06,1.54,5.56,77.13,0.05,17.26,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.48,0.20,69.76,0.00,100.00,0.00,0.00,0.00,0.00,77.37,52.02,4.57 ,4.38 ,0.30 ,0.33 ,3.00,3.00,0.23,1.48,0.15,1.12,0.03,2.30,0.99,0.20,0.0001,0.0039,  6120,13.66,86.34,0.00,0.00,0.00,51,587.05,395.68,2597.11,2.97,74.18,0.45,11.30,
2024-02-27,09:18:34.677,0.15,2.40,0.06,1.12,0.08,16.11,1.00,0.39,0.0000,0.0020, 21480,0.69,0.61,99,46,7941.86,3311.13,2599.51,4.80,119.93,0.31,7.64,0.03,1.55,0.02,1.21,0.02,2.21,0.99,0.43,0.0000,0.0014, 25080,0.42,0.01,95,46,1620.79,1047.26,2599.51,3.10,77.38,0.06,1.56,5.71,77.22,0.01,17.06,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.48,0.18,69.68,0.00,100.00,0.00,0.00,0.00,0.00,77.56,52.10,4.57 ,4.38 ,0.20 ,0.33 ,3.00,3.00,0.23,1.47,0.16,1.12,0.03,2.34,0.99,0.20,0.0001,0.0040,  6120,13.90,86.10,0.00,0.00,0.00,51,591.20,403.10,2599.51,2.93,73.33,0.45,11.37,
2024-02-27,09:18:35.677,0.16,2.42,0.06,1.12,0.07,16.33,1.00,0.38,0.0000,0.0020, 21480,0.68,0.60,99,46,8055.72,3332.08,2597.06,4.84,120.88,0.31,7.75,0.03,1.59,0.02,1.22,0.01,2.08,0.99,0.39,0.0000,0.0013, 24200,0.42,0.01,96,46,1657.45,1039.67,2597.06,3.19,79.71,0.06,1.60,5.75,77.19,0.05,17.00,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.68,0.19,69.49,0.00,100.00,0.00,0.00,0.00,0.00,77.46,52.08,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.23,1.47,0.16,1.12,0.03,2.36,0.99,0.20,0.0001,0.0040,  6360,14.08,85.92,0.00,0.00,0.00,51,598.01,407.89,2597.06,2.93,73.30,0.46,11.51,
2024-02-27,09:18:36.678,0.15,2.40,0.06,1.12,0.09,16.18,0.99,0.39,0.0000,0.0020, 20920,0.68,0.60,99,46,7987.56,3327.23,2597.45,4.80,120.03,0.31,7.69,0.03,1.54,0.02,1.22,0.02,2.16,0.99,0.38,0.0000,0.0013, 24800,0.43,0.01,96,46,1622.83,1050.93,2597.45,3.09,77.21,0.06,1.56,5.74,76.87,0.02,17.37,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.50,0.14,69.70,0.00,100.00,0.00,0.00,0.00,0.00,77.66,52.12,4.57 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.23,1.49,0.16,1.12,0.03,2.33,0.99,0.20,0.0001,0.0039,  6360,13.94,86.06,0.00,0.00,0.00,51,601.81,403.87,2597.45,2.98,74.51,0.46,11.58,
2024-02-27,09:18:37.678,0.15,2.43,0.06,1.12,0.07,16.11,1.00,0.38,0.0000,0.0020, 21800,0.67,0.60,99,46,7875.67,3242.02,2597.30,4.86,121.46,0.30,7.58,0.03,1.63,0.02,1.22,0.01,2.09,1.00,0.39,0.0000,0.0013, 24160,0.43,0.01,95,46,1607.67,986.33,2597.30,3.26,81.50,0.06,1.55,5.60,77.00,0.01,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.31,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,77.65,52.08,4.54 ,4.38 ,289535.01 ,338588.35 ,3.00,3.00,0.23,1.49,0.15,1.12,0.03,2.32,0.99,0.20,0.0001,0.0039,  6560,13.72,86.28,0.00,0.00,0.00,51,593.89,397.33,2597.30,2.99,74.74,0.46,11.43,
2024-02-27,09:18:38.684,0.16,2.40,0.06,1.12,0.10,16.20,0.99,0.39,0.0000,0.0020, 20280,0.68,0.61,98,46,8072.44,3368.73,2598.11,4.79,119.81,0.31,7.77,0.03,1.49,0.02,1.20,0.09,2.62,0.97,0.43,0.0001,0.0015, 25680,0.47,0.04,93,47,1694.13,1137.13,2598.11,2.98,74.49,0.07,1.63,5.81,77.27,0.08,16.84,0.00,100.00,0.00,0.00,0.00,0.00,1.82,30.92,0.20,67.05,0.00,100.00,0.00,0.00,0.00,0.00,77.71,53.12,4.55 ,4.43 ,0.07 ,0.10 ,3.00,3.02,0.23,1.45,0.16,1.12,0.03,2.33,0.99,0.20,0.0001,0.0040,  6280,14.02,85.98,0.00,0.00,0.00,50,589.05,406.30,2598.11,2.90,72.49,0.45,11.34,
