System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core1 (Socket 0)-EXEC,Core1 (Socket 0)-IPC,Core1 (Socket 0)-FREQ,Core1 (Socket 0)-AFREQ,Core1 (Socket 0)-L3MISS,Core1 (Socket 0)-L2MISS,Core1 (Socket 0)-L3HIT,Core1 (Socket 0)-L2HIT,Core1 (Socket 0)-L3MPI,Core1 (Socket 0)-L2MPI,Core1 (Socket 0)-L3OCC,Core1 (Socket 0)-C0res%,Core1 (Socket 0)-C1res%,Core1 (Socket 0)-C3res%,Core1 (Socket 0)-C6res%,Core1 (Socket 0)-C7res%,Core1 (Socket 0)-TEMP,Core1 (Socket 0)-INST,Core1 (Socket 0)-ACYC,Core1 (Socket 0)-TIME(ticks),Core1 (Socket 0)-PhysIPC,Core1 (Socket 0)-PhysIPC%,Core1 (Socket 0)-INSTnom,Core1 (Socket 0)-INSTnom%,-
2024-02-27,15:14:01.359,0.14,2.33,0.06,1.12,0.09,14.88,0.99,0.37,0.0000,0.0020, 14200,0.71,0.63,99,50,7431.03,3183.42,2600.30,4.67,116.71,0.29,7.14,0.03,1.57,0.02,1.20,0.03,2.13,0.99,0.67,0.0000,0.0012, 22640,0.46,0.02,96,48,1811.81,1152.80,2600.30,3.14,78.58,0.07,1.74,5.49,75.05,0.01,19.45,0.00,100.00,0.00,0.00,0.00,0.00,1.85,30.86,0.15,67.14,0.00,100.00,0.00,0.00,0.00,0.00,75.59,53.44,4.57 ,4.39 ,2001537.46 ,2037274.47 ,3.00,3.00,0.35,2.31,0.15,1.12,0.00,2.76,1.00,0.41,0.0000,0.0031,   120,13.51,86.49,0.00,0.00,0.00,51,905.62,391.95,2600.30,4.62,115.53,0.70,17.41,
2024-02-27,15:14:02.358,0.15,2.34,0.06,1.12,0.09,15.50,0.99,0.40,0.0000,0.0020, 15560,0.72,0.63,99,50,7764.83,3320.00,2595.36,4.68,116.94,0.30,7.48,0.03,1.58,0.02,1.22,0.04,2.21,0.98,0.39,0.0000,0.0014, 22720,0.44,0.01,96,47,1612.86,1019.79,2595.36,3.16,79.08,0.06,1.55,5.73,77.17,0.00,17.09,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.36,0.12,69.91,0.00,100.00,0.00,0.00,0.00,0.00,76.63,51.87,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.36,2.30,0.15,1.12,0.00,2.89,1.00,0.41,0.0000,0.0031,   120,13.89,86.11,0.00,0.00,0.00,50,924.89,402.08,2595.36,4.60,115.01,0.71,17.82,
2024-02-27,15:14:03.359,0.15,2.30,0.07,1.12,0.09,15.55,0.99,0.41,0.0000,0.0020, 16160,0.71,0.63,99,49,7799.49,3397.46,2598.68,4.59,114.78,0.30,7.50,0.03,1.54,0.02,1.22,0.01,2.19,0.99,0.39,0.0000,0.0013, 23000,0.43,0.01,95,46,1634.92,1061.70,2598.68,3.08,77.00,0.06,1.57,5.86,77.06,0.01,17.08,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.56,0.13,69.64,0.00,100.00,0.00,0.00,0.00,0.00,76.79,52.07,4.53 ,4.39 ,482715.76 ,0.00 ,3.00,3.00,0.36,2.29,0.16,1.12,0.00,2.88,1.00,0.41,0.0000,0.0031,   240,13.99,86.01,0.00,0.00,0.00,50,927.74,405.41,2598.68,4.58,114.42,0.71,17.85,
2024-02-27,15:14:04.359,0.15,2.40,0.06,1.12,0.08,15.82,1.00,0.37,0.0000,0.0021, 16440,0.71,0.62,99,50,7705.94,3204.82,2597.77,4.81,120.22,0.30,7.42,0.03,1.63,0.02,1.21,0.02,2.20,0.99,0.66,0.0000,0.0012, 23120,0.42,0.01,95,48,1811.03,1113.69,2597.77,3.25,81.31,0.07,1.74,5.53,75.20,0.02,19.25,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.52,0.14,67.56,0.00,100.00,0.00,0.00,0.00,0.00,75.83,53.23,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.36,2.35,0.15,1.12,0.00,2.95,1.00,0.40,0.0000,0.0032,   240,13.77,86.23,0.00,0.00,0.00,50,937.92,399.04,2597.77,4.70,117.52,0.72,18.05,
2024-02-27,15:14:05.364,0.15,2.31,0.06,1.12,0.08,15.42,0.99,0.41,0.0000,0.0020, 17840,0.70,0.62,99,48,7641.28,3314.33,2609.50,4.61,115.28,0.29,7.32,0.03,1.61,0.02,1.22,0.01,2.09,1.00,0.42,0.0000,0.0013, 23680,0.42,0.01,95,47,1652.06,1025.75,2609.50,3.22,80.53,0.06,1.58,5.69,77.25,0.04,17.02,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.55,0.15,69.68,0.00,100.00,0.00,0.00,0.00,0.00,77.24,52.18,4.56 ,4.40 ,0.10 ,0.33 ,3.00,3.00,0.35,2.30,0.15,1.12,0.00,2.89,1.00,0.40,0.0000,0.0032,   120,13.56,86.44,0.00,0.00,0.00,48,907.72,394.65,2609.50,4.60,115.00,0.70,17.39,
2024-02-27,15:14:06.364,0.15,2.41,0.06,1.12,0.08,15.78,1.00,0.38,0.0000,0.0020, 17560,0.70,0.61,99,49,7756.13,3220.87,2597.66,4.82,120.40,0.30,7.46,0.03,1.60,0.02,1.20,0.02,2.11,0.99,0.63,0.0000,0.0012, 23760,0.43,0.01,95,47,1746.78,1092.77,2597.66,3.20,79.92,0.07,1.68,5.56,75.92,0.00,18.52,0.00,100.00,0.00,0.00,0.00,0.00,1.75,30.75,0.13,67.37,0.00,100.00,0.00,0.00,0.00,0.00,76.11,53.16,4.55 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.36,2.36,0.15,1.12,0.00,2.95,1.00,0.40,0.0000,0.0031,   240,13.77,86.23,0.00,0.00,0.00,49,942.91,398.86,2597.66,4.73,118.20,0.73,18.15,
2024-02-27,15:14:07.364,0.15,2.33,0.06,1.12,0.08,15.78,0.99,0.40,0.0000,0.0020, 17840,0.69,0.61,99,49,7770.80,3333.28,2597.91,4.66,116.56,0.30,7.48,0.03,1.61,0.02,1.22,0.01,2.11,1.00,0.39,0.0000,0.0013, 23280,0.43,0.01,95,46,1643.18,1023.61,2597.91,3.21,80.26,0.06,1.58,5.75,77.01,0.00,17.24,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.46,0.13,69.80,0.00,100.00,0.00,0.00,0.00,0.00,77.04,52.01,4.55 ,4.38 ,0.23 ,0.33 ,3.00,3.00,0.35,2.29,0.15,1.12,0.00,2.95,1.00,0.40,0.0000,0.0032,   240,13.87,86.13,0.00,0.00,0.00,49,921.36,401.99,2597.91,4.58,114.60,0.71,17.73,
2024-02-27,15:14:08.366,0.15,2.32,0.06,1.12,0.10,15.71,0.99,0.37,0.0000,0.0020, 17680,0.70,0.62,99,48,7692.85,3317.48,2598.16,4.64,115.94,0.30,7.40,0.04,1.55,0.02,1.19,0.02,2.20,0.99,0.68,0.0000,0.0012, 24920,0.44,0.02,94,46,1834.27,1185.41,2598.16,3.09,77.37,0.07,1.76,5.72,75.20,0.02,19.06,0.00,100.00,0.00,0.00,0.00,0.00,1.91,31.78,0.15,66.17,0.00,100.00,0.00,0.00,0.00,0.00,75.94,53.75,4.55 ,4.39 ,0.00 ,0.33 ,3.00,3.00,0.37,2.36,0.15,1.12,0.00,2.91,1.00,0.41,0.0000,0.0031,   160,13.89,86.11,0.00,0.00,0.00,49,949.17,402.41,2598.16,4.72,117.94,0.73,18.27,
2024-02-27,15:14:09.365,0.14,2.29,0.06,1.12,0.15,15.83,0.99,0.26,0.0000,0.0022, 18360,0.66,0.63,97,49,7331.50,3199.09,2598.43,4.58,114.59,0.28,7.05,0.04,1.52,0.03,1.17,0.06,2.28,0.97,0.83,0.0000,0.0010, 24080,0.49,0.02,92,46,2201.44,1451.81,2598.43,3.03,75.82,0.08,2.12,5.52,74.14,0.17,20.18,0.00,100.00,0.00,0.00,0.00,0.00,2.40,38.88,0.21,58.51,0.00,100.00,0.00,0.00,0.00,0.00,74.65,57.21,4.50 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.36,2.42,0.15,1.12,0.00,2.89,1.00,0.40,0.0000,0.0030,   160,13.53,86.47,0.00,0.00,0.00,49,947.98,392.11,2598.43,4.84,120.88,0.73,18.24,
2024-02-27,15:14:10.366,0.16,2.47,0.06,1.12,0.06,17.67,1.00,0.35,0.0000,0.0022, 18080,0.58,0.56,99,48,8113.26,3283.33,2597.66,4.94,123.55,0.31,7.81,0.04,1.58,0.02,1.20,0.04,2.05,0.98,0.70,0.0000,0.0011, 22960,0.44,0.01,96,46,1833.41,1162.16,2597.66,3.16,78.88,0.07,1.76,5.67,74.54,0.02,19.77,0.00,100.00,0.00,0.00,0.00,0.00,1.87,30.74,0.14,67.25,0.00,100.00,0.00,0.00,0.00,0.00,76.63,53.56,4.50 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.39,2.47,0.16,1.12,0.00,3.36,1.00,0.38,0.0000,0.0033,    80,14.09,85.91,0.00,0.00,0.00,48,1009.75,408.17,2597.66,4.95,123.69,0.78,19.44,
