,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-27,11:25:35.763,  146.04,  201.36,  535.16,  394.92,,,,,  681.20,  596.28,1977634955, 1277.48,  218.19,   12.82,  215.88,    9.68,,,,,  434.06,   22.50,1977893305,  456.56,   1115.27,    618.78,   1734.05
2024-02-27,11:25:36.763,  154.75,  212.50,  569.73,  419.38,,,,,  724.48,  631.87,2133416343, 1356.35,  226.90,    8.41,  224.97,    5.04,,,,,  451.87,   13.45,2133384576,  465.32,   1176.35,    645.33,   1821.67
2024-02-27,11:25:37.763,  152.36,  209.14,  562.61,  413.93,,,,,  714.97,  623.07,2133028960, 1338.04,  217.40,    5.53,  215.69,    2.17,,,,,  433.09,    7.70,2132996655,  440.79,   1148.06,    630.76,   1778.82
2024-02-27,11:25:38.764,  151.26,  207.71,  558.59,  411.67,,,,,  709.85,  619.38,2132928240, 1329.23,  216.12,    5.98,  214.38,    2.62,,,,,  430.50,    8.60,2132864072,  439.10,   1140.36,    627.98,   1768.33
2024-02-27,11:25:39.764,  149.81,  213.62,  548.72,  414.05,,,,,  698.53,  627.67,2135090342, 1326.20,  245.37,   21.06,  242.44,   17.55,,,,,  487.81,   38.60,2134997291,  526.41,   1186.34,    666.27,   1852.61
2024-02-27,11:25:40.764,  130.59,  196.86,  488.48,  380.03,,,,,  619.07,  576.88,2132720378, 1195.95,  231.23,    8.61,  228.10,    5.24,,,,,  459.33,   13.85,2132753040,  473.18,   1078.40,    590.74,   1669.14
2024-02-27,11:25:41.763,  129.39,  194.13,  484.91,  376.13,,,,,  614.30,  570.26,2132686897, 1184.56,  220.34,    6.22,  217.74,    2.85,,,,,  438.07,    9.07,2132601509,  447.14,   1052.38,    579.33,   1631.70
2024-02-27,11:25:42.764,  129.64,  194.12,  485.61,  376.29,,,,,  615.25,  570.41,2134721898, 1185.66,  216.99,    6.00,  215.09,    2.61,,,,,  432.08,    8.61,2134804624,  440.70,   1047.34,    579.02,   1626.36
2024-02-27,11:25:43.764,  128.20,  191.91,  480.87,  372.53,,,,,  609.07,  564.44,2132799934, 1173.51,  218.89,    6.99,  217.30,    3.57,,,,,  436.19,   10.57,2132874134,  446.76,   1045.26,    575.01,   1620.28
2024-02-27,11:25:44.764,  128.20,  191.29,  481.79,  372.42,,,,,  609.99,  563.71,2132849960, 1173.70,  216.20,    6.18,  213.46,    2.79,,,,,  429.66,    8.97,2132682088,  438.63,   1039.65,    572.68,   1612.33
2024-02-27,11:25:45.765,  126.98,  189.39,  478.59,  369.54,,,,,  605.57,  558.93,2132610365, 1164.50,  214.08,    5.88,  211.84,    2.49,,,,,  425.92,    8.38,2132734367,  434.30,   1031.49,    567.30,   1598.79
