,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-27,23:58:06.584,  141.83,  197.59,  520.40,  386.51,,,,,  662.24,  584.10,1930261581, 1246.34,  212.41,    8.46,  216.09,   11.41,,,,,  428.50,   19.88,1930395975,  448.38,   1090.74,    603.98,   1694.71
2024-02-27,23:58:07.584,  152.66,  214.21,  562.00,  419.17,,,,,  714.66,  633.38,2133300664, 1348.04,  223.53,    5.99,  227.93,    9.27,,,,,  451.46,   15.27,2133437304,  466.73,   1166.12,    648.65,   1814.77
2024-02-27,23:58:08.584,  145.60,  207.59,  540.61,  406.63,,,,,  686.21,  614.21,2132936224, 1300.43,  220.69,    4.28,  224.22,    7.57,,,,,  444.92,   11.85,2132992645,  456.77,   1131.13,    626.07,   1757.20
2024-02-27,23:58:09.584,  143.04,  203.97,  533.40,  401.01,,,,,  676.44,  604.98,2132994718, 1281.42,  216.45,    2.68,  221.01,    5.97,,,,,  437.45,    8.66,2132914047,  446.11,   1113.90,    613.63,   1727.53
2024-02-27,23:58:10.585,  142.78,  202.49,  531.00,  398.51,,,,,  673.78,  600.99,2132768098, 1274.77,  214.08,    4.02,  220.60,    7.27,,,,,  434.68,   11.29,2132729882,  445.96,   1108.45,    612.28,   1720.73
2024-02-27,23:58:11.585,  142.12,  203.41,  527.67,  398.54,,,,,  669.79,  601.95,2135124845, 1271.74,  230.94,   10.58,  236.08,   13.83,,,,,  467.02,   24.42,2135320381,  491.44,   1136.81,    626.37,   1763.18
2024-02-27,23:58:12.585,  140.71,  205.78,  521.40,  398.66,,,,,  662.11,  604.44,2133054145, 1266.55,  253.17,   17.13,  257.72,   20.53,,,,,  510.88,   37.66,2132890749,  548.54,   1172.99,    642.10,   1815.09
2024-02-27,23:58:13.585,  134.50,  197.57,  504.01,  385.38,,,,,  638.51,  582.95,2132804931, 1221.45,  221.59,    3.99,  225.80,    7.27,,,,,  447.39,   11.26,2132632302,  458.65,   1085.90,    594.21,   1680.11
2024-02-27,23:58:14.585,  134.29,  196.04,  503.42,  384.00,,,,,  637.71,  580.04,2132698492, 1217.75,  216.08,    3.98,  219.76,    7.28,,,,,  435.83,   11.25,2132757000,  447.09,   1073.55,    591.29,   1664.84
2024-02-27,23:58:15.586,  132.95,  194.71,  499.40,  381.43,,,,,  632.36,  576.14,2134804865, 1208.50,  215.14,    2.94,  219.16,    6.21,,,,,  434.30,    9.15,2134725316,  443.45,   1066.65,    585.29,   1651.94
2024-02-27,23:58:16.586,  132.53,  193.37,  498.44,  380.12,,,,,  630.97,  573.49,2132740723, 1204.46,  216.75,    4.20,  220.60,    7.47,,,,,  437.35,   11.67,2132928935,  449.02,   1068.32,    585.16,   1653.48
