System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core4 (Socket 0)-EXEC,Core4 (Socket 0)-IPC,Core4 (Socket 0)-FREQ,Core4 (Socket 0)-AFREQ,Core4 (Socket 0)-L3MISS,Core4 (Socket 0)-L2MISS,Core4 (Socket 0)-L3HIT,Core4 (Socket 0)-L2HIT,Core4 (Socket 0)-L3MPI,Core4 (Socket 0)-L2MPI,Core4 (Socket 0)-L3OCC,Core4 (Socket 0)-C0res%,Core4 (Socket 0)-C1res%,Core4 (Socket 0)-C3res%,Core4 (Socket 0)-C6res%,Core4 (Socket 0)-C7res%,Core4 (Socket 0)-TEMP,Core4 (Socket 0)-INST,Core4 (Socket 0)-ACYC,Core4 (Socket 0)-TIME(ticks),Core4 (Socket 0)-PhysIPC,Core4 (Socket 0)-PhysIPC%,Core4 (Socket 0)-INSTnom,Core4 (Socket 0)-INSTnom%,-
2024-03-04,13:59:18.869,1.26,3.37,0.37,1.12,0.21,8.44,0.97,0.87,0.0000,0.0001, 16760,0.01,0.01,99,47,65436.61,19409.90,2599.78,6.74,168.57,2.52,62.92,0.13,1.25,0.11,1.23,0.15,7.71,0.98,0.90,0.0000,0.0011, 21760,0.01,0.00,92,46,7017.57,5619.57,2599.78,2.50,62.44,0.27,6.75,33.46,48.06,0.00,18.48,0.00,100.00,0.00,0.00,0.00,0.00,8.80,18.06,0.04,73.11,0.00,100.00,0.00,0.00,0.00,0.00,80.22,51.16,4.10 ,4.27 ,4141.25 ,521.65 ,3.00,3.00,3.55,3.85,0.92,1.12,0.01,1.06,0.99,0.15,0.0000,0.0001,  1200,82.50,17.50,0.00,0.00,0.00,50,9221.41,2392.29,2599.78,7.71,192.73,7.09,177.35,
2024-03-04,13:59:19.870,0.24,2.96,0.08,1.12,0.14,8.12,0.98,0.44,0.0000,0.0007, 18920,0.21,0.16,99,46,12365.78,4178.14,2598.92,5.92,147.98,0.48,11.90,0.05,1.45,0.03,1.17,0.06,2.61,0.98,0.90,0.0000,0.0010, 23360,0.10,0.00,94,46,2626.75,1805.51,2598.92,2.91,72.74,0.10,2.53,7.21,68.19,0.04,24.56,0.00,100.00,0.00,0.00,0.00,0.00,2.96,36.17,0.21,60.66,0.00,100.00,0.00,0.00,0.00,0.00,74.33,56.62,4.28 ,4.34 ,4509549.43 ,4773800.27 ,3.00,3.00,0.75,3.45,0.22,1.12,0.01,1.04,0.99,0.16,0.0000,0.0005,  1960,19.41,80.59,0.00,0.00,0.00,49,1939.79,562.50,2598.92,6.90,172.43,1.49,37.32,
2024-03-04,13:59:20.870,0.14,2.20,0.06,1.12,0.13,11.94,0.99,0.42,0.0000,0.0016, 18920,0.78,0.59,99,46,7328.72,3332.89,2597.08,4.40,109.95,0.28,7.06,0.03,1.58,0.02,1.22,0.02,1.92,0.99,0.44,0.0000,0.0011, 23560,0.37,0.01,96,46,1676.96,1059.81,2597.08,3.16,79.12,0.06,1.61,5.75,76.87,0.01,17.37,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.62,0.16,69.54,0.00,100.00,0.00,0.00,0.00,0.00,75.82,52.29,4.56 ,4.37 ,529346.42 ,530476.62 ,3.00,3.00,0.45,2.89,0.16,1.12,0.01,1.57,0.99,0.16,0.0000,0.0013,  2440,13.97,86.03,0.00,0.00,0.00,50,1169.40,404.53,2597.08,5.78,144.54,0.90,22.51,
2024-03-04,13:59:21.870,0.14,2.22,0.06,1.12,0.12,12.06,0.99,0.42,0.0000,0.0016, 19600,0.78,0.59,99,46,7320.36,3302.63,2597.19,4.43,110.83,0.28,7.05,0.03,1.64,0.02,1.22,0.01,1.88,0.99,0.38,0.0000,0.0011, 23320,0.35,0.01,96,46,1667.90,1016.68,2597.19,3.28,82.03,0.06,1.61,5.70,77.22,0.02,17.06,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.28,0.16,69.96,0.00,100.00,0.00,0.00,0.00,0.00,76.03,52.16,4.55 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.45,2.89,0.15,1.12,0.01,1.59,1.00,0.16,0.0000,0.0014,  2520,13.83,86.17,0.00,0.00,0.00,49,1159.65,400.75,2597.19,5.79,144.68,0.89,22.33,
2024-03-04,13:59:22.870,0.14,2.23,0.06,1.12,0.12,12.20,0.99,0.42,0.0000,0.0016, 19280,0.77,0.58,99,46,7424.83,3327.22,2596.71,4.46,111.58,0.29,7.15,0.03,1.54,0.02,1.22,0.01,1.95,0.99,0.38,0.0000,0.0012, 24080,0.36,0.01,95,45,1623.63,1052.78,2596.71,3.08,77.11,0.06,1.56,5.74,77.31,0.03,16.91,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.48,0.15,69.70,0.00,100.00,0.00,0.00,0.00,0.00,76.22,52.25,4.56 ,4.37 ,0.33 ,0.27 ,3.00,3.00,0.45,2.92,0.15,1.12,0.01,1.61,1.00,0.16,0.0000,0.0014,  2920,13.89,86.11,0.00,0.00,0.00,50,1172.66,402.17,2596.71,5.83,145.79,0.90,22.58,
2024-03-04,13:59:23.870,0.15,2.24,0.06,1.12,0.12,12.47,0.99,0.42,0.0000,0.0017, 19360,0.76,0.58,99,45,7544.44,3363.34,2597.07,4.49,112.16,0.29,7.26,0.03,1.55,0.02,1.21,0.01,1.82,1.00,0.39,0.0000,0.0011, 23400,0.35,0.01,96,45,1649.67,1062.10,2597.07,3.11,77.66,0.06,1.59,5.81,77.33,0.01,16.86,0.00,100.00,0.00,0.00,0.00,0.00,1.68,29.20,0.14,68.97,0.00,100.00,0.00,0.00,0.00,0.00,76.37,52.42,4.57 ,4.36 ,0.17 ,0.17 ,3.00,3.00,0.46,2.92,0.16,1.12,0.01,1.64,1.00,0.16,0.0000,0.0014,  2560,14.06,85.94,0.00,0.00,0.00,49,1188.54,407.22,2597.07,5.84,145.93,0.92,22.88,
2024-03-04,13:59:24.871,0.14,2.24,0.06,1.12,0.12,12.20,0.99,0.42,0.0000,0.0017, 19440,0.76,0.58,99,45,7361.97,3281.46,2599.59,4.49,112.18,0.28,7.08,0.03,1.62,0.02,1.22,0.01,1.88,0.99,0.38,0.0000,0.0011, 23920,0.35,0.01,95,45,1653.92,1022.14,2599.59,3.24,80.91,0.06,1.59,5.66,77.54,0.02,16.78,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.66,0.16,69.57,0.00,100.00,0.00,0.00,0.00,0.00,76.48,52.31,4.55 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.44,2.92,0.15,1.12,0.01,1.60,1.00,0.16,0.0000,0.0014,  2800,13.61,86.39,0.00,0.00,0.00,48,1153.65,394.59,2599.59,5.85,146.18,0.89,22.19,
2024-03-04,13:59:25.871,0.15,2.23,0.07,1.12,0.11,12.54,0.99,0.41,0.0000,0.0017, 19760,0.76,0.57,99,46,7544.58,3379.31,2596.25,4.47,111.63,0.29,7.26,0.03,1.59,0.02,1.22,0.01,1.93,0.99,0.38,0.0000,0.0012, 24880,0.35,0.01,96,45,1654.18,1043.08,2596.25,3.17,79.29,0.06,1.59,5.83,77.47,0.02,16.67,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.67,0.16,69.52,0.00,100.00,0.00,0.00,0.00,0.00,76.58,52.31,4.57 ,4.37 ,0.33 ,0.00 ,3.00,3.00,0.46,2.92,0.16,1.12,0.01,1.65,1.00,0.16,0.0000,0.0014,  2560,13.99,86.01,0.00,0.00,0.00,49,1183.32,405.07,2596.25,5.84,146.06,0.91,22.79,
2024-03-04,13:59:26.871,0.15,2.28,0.06,1.12,0.13,12.71,0.99,0.42,0.0000,0.0017, 20000,0.76,0.57,99,46,7649.48,3350.35,2596.20,4.57,114.16,0.29,7.36,0.03,1.62,0.02,1.22,0.01,1.92,0.99,0.38,0.0000,0.0012, 24760,0.35,0.01,95,44,1631.29,1005.19,2596.20,3.25,81.14,0.06,1.57,5.78,77.08,0.02,17.12,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.40,0.16,69.85,0.00,100.00,0.00,0.00,0.00,0.00,76.53,52.29,4.56 ,4.36 ,0.00 ,0.00 ,3.00,3.00,0.46,2.96,0.16,1.12,0.01,1.67,1.00,0.16,0.0000,0.0014,  2360,14.04,85.96,0.00,0.00,0.00,48,1205.33,406.60,2596.20,5.93,148.22,0.93,23.21,
2024-03-04,13:59:27.872,0.14,2.17,0.07,1.12,0.16,12.49,0.99,0.43,0.0000,0.0017, 20120,0.76,0.58,99,46,7460.28,3431.38,2600.26,4.35,108.71,0.29,7.17,0.03,1.53,0.02,1.21,0.04,2.14,0.98,0.42,0.0000,0.0013, 24840,0.37,0.02,94,46,1689.72,1106.68,2600.26,3.05,76.34,0.06,1.62,5.92,77.66,0.04,16.39,0.00,100.00,0.00,0.00,0.00,0.00,1.76,29.98,0.27,67.99,0.00,100.00,0.00,0.00,0.00,0.00,76.84,52.99,4.57 ,4.39 ,0.00 ,0.00 ,3.00,3.00,0.45,2.86,0.16,1.12,0.01,1.63,0.99,0.16,0.0000,0.0014,  1680,14.01,85.99,0.00,0.00,0.00,48,1162.52,406.35,2600.26,5.72,143.04,0.89,22.35,
