,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-04,13:59:20.355,  129.79,  146.32,  471.85,  313.65,,,,,  601.63,  459.97,1641004355, 1061.60,  147.90,    7.72,  145.51,    5.17,,,,,  293.41,   12.89,1641757574,  306.30,    895.04,    472.86,   1367.90
2024-03-04,13:59:21.355,  167.38,  186.48,  610.48,  403.72,,,,,  777.87,  590.19,2133079205, 1368.06,  181.96,    6.85,  179.04,    3.50,,,,,  361.00,   10.35,2133067509,  371.36,   1138.87,    600.54,   1739.42
2024-03-04,13:59:22.355,  166.01,  184.61,  607.23,  400.95,,,,,  773.24,  585.56,2131735016, 1358.79,  178.19,    6.18,  174.88,    2.81,,,,,  353.07,    8.98,2131482496,  362.05,   1126.30,    594.54,   1720.84
2024-03-04,13:59:23.355,  164.65,  183.28,  603.71,  398.66,,,,,  768.36,  581.94,2133364980, 1350.30,  177.68,    5.68,  174.31,    2.35,,,,,  351.99,    8.03,2133419598,  360.02,   1120.36,    589.97,   1710.32
2024-03-04,13:59:24.356,  163.11,  181.51,  600.19,  396.03,,,,,  763.30,  577.54,2133386532, 1340.84,  173.83,    5.37,  171.74,    2.01,,,,,  345.57,    7.39,2133269269,  352.95,   1108.87,    584.92,   1693.79
2024-03-04,13:59:25.356,  162.33,  180.39,  598.21,  394.36,,,,,  760.54,  574.74,2133536093, 1335.29,  175.43,    6.50,  173.55,    3.13,,,,,  348.97,    9.63,2133658170,  358.61,   1109.52,    584.38,   1693.90
2024-03-04,13:59:26.355,  161.69,  179.35,  596.34,  393.03,,,,,  758.02,  572.38,2133571348, 1330.40,  175.59,    6.08,  173.58,    2.70,,,,,  349.17,    8.78,2133480827,  357.94,   1107.19,    581.15,   1688.34
2024-03-04,13:59:27.355,  161.77,  179.72,  596.49,  393.58,,,,,  758.26,  573.30,2133351941, 1331.56,  175.54,    5.74,  173.67,    2.38,,,,,  349.21,    8.12,2133516767,  357.33,   1107.47,    581.42,   1688.90
2024-03-04,13:59:28.356,  161.57,  183.86,  593.32,  396.52,,,,,  754.88,  580.38,2133745896, 1335.27,  210.03,   23.41,  206.64,   19.90,,,,,  416.67,   43.31,2133665486,  459.98,   1171.55,    623.70,   1795.25
2024-03-04,13:59:29.356,  155.66,  176.17,  577.86,  384.96,,,,,  733.52,  561.13,2133719962, 1294.65,  187.29,    7.54,  184.32,    4.15,,,,,  371.61,   11.70,2133573965,  383.30,   1105.13,    572.83,   1677.95
2024-03-04,13:59:30.356,  154.91,  175.76,  576.77,  384.32,,,,,  731.68,  560.08,2133325441, 1291.75,  183.32,    7.51,  180.53,    4.16,,,,,  363.85,   11.67,2133310082,  375.52,   1095.52,    571.74,   1667.27
