System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core5 (Socket 0)-EXEC,Core5 (Socket 0)-IPC,Core5 (Socket 0)-FREQ,Core5 (Socket 0)-AFREQ,Core5 (Socket 0)-L3MISS,Core5 (Socket 0)-L2MISS,Core5 (Socket 0)-L3HIT,Core5 (Socket 0)-L2HIT,Core5 (Socket 0)-L3MPI,Core5 (Socket 0)-L2MPI,Core5 (Socket 0)-L3OCC,Core5 (Socket 0)-C0res%,Core5 (Socket 0)-C1res%,Core5 (Socket 0)-C3res%,Core5 (Socket 0)-C6res%,Core5 (Socket 0)-C7res%,Core5 (Socket 0)-TEMP,Core5 (Socket 0)-INST,Core5 (Socket 0)-ACYC,Core5 (Socket 0)-TIME(ticks),Core5 (Socket 0)-PhysIPC,Core5 (Socket 0)-PhysIPC%,Core5 (Socket 0)-INSTnom,Core5 (Socket 0)-INSTnom%,-
2024-03-04,13:59:19.781,0.28,3.17,0.09,1.12,0.11,6.05,0.98,0.59,0.0000,0.0004, 17800,0.15,0.12,99,46,14416.72,4545.84,2600.96,6.34,158.57,0.55,13.86,0.05,1.39,0.04,1.18,0.09,2.59,0.96,0.91,0.0000,0.0010, 23400,0.08,0.01,93,46,2639.28,1902.43,2600.96,2.77,69.37,0.10,2.54,7.83,68.31,0.03,23.82,0.00,100.00,0.00,0.00,0.00,0.00,3.11,35.24,0.19,61.47,0.00,100.00,0.00,0.00,0.00,0.00,75.06,56.24,4.23 ,4.34 ,502119.93 ,504880.81 ,3.00,3.00,0.83,3.57,0.23,1.12,0.00,0.68,1.00,0.13,0.0000,0.0003,   280,20.83,79.17,0.00,0.00,0.00,50,2159.07,604.29,2600.96,7.15,178.64,1.66,41.51,
2024-03-04,13:59:20.782,0.14,2.24,0.06,1.12,0.14,12.23,0.99,0.41,0.0000,0.0016, 18560,0.78,0.59,99,47,7428.32,3310.30,2599.52,4.49,112.20,0.29,7.14,0.03,1.62,0.02,1.21,0.02,1.93,0.99,0.59,0.0000,0.0011, 23520,0.37,0.01,96,46,1762.22,1090.42,2599.52,3.23,80.80,0.07,1.69,5.71,76.18,0.01,18.10,0.00,100.00,0.00,0.00,0.00,0.00,1.73,29.40,0.16,68.71,0.00,100.00,0.00,0.00,0.00,0.00,75.54,52.75,4.57 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.44,2.84,0.16,1.12,0.00,1.47,1.00,0.11,0.0000,0.0013,   480,13.99,86.01,0.00,0.00,0.00,50,1152.71,405.56,2599.52,5.68,142.11,0.89,22.17,
2024-03-04,13:59:21.782,0.14,2.21,0.06,1.12,0.12,12.16,0.99,0.42,0.0000,0.0016, 20400,0.78,0.59,99,46,7376.35,3339.63,2596.97,4.42,110.44,0.28,7.10,0.03,1.57,0.02,1.22,0.01,1.84,0.99,0.38,0.0000,0.0011, 23280,0.36,0.01,96,45,1604.11,1019.70,2596.97,3.15,78.66,0.06,1.54,5.76,77.16,0.02,17.05,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.28,0.17,69.94,0.00,100.00,0.00,0.00,0.00,0.00,76.02,52.15,4.55 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.44,2.79,0.16,1.12,0.00,1.47,1.00,0.11,0.0000,0.0013,   520,14.02,85.98,0.00,0.00,0.00,50,1132.92,406.25,2596.97,5.58,139.44,0.87,21.81,
2024-03-04,13:59:22.782,0.14,2.21,0.06,1.12,0.14,12.19,0.99,0.41,0.0000,0.0016, 19880,0.77,0.59,99,46,7452.52,3367.00,2597.21,4.43,110.67,0.29,7.17,0.03,1.62,0.02,1.22,0.01,1.87,1.00,0.38,0.0000,0.0011, 23880,0.36,0.01,95,46,1677.60,1037.33,2597.21,3.23,80.86,0.06,1.61,5.81,77.25,0.03,16.91,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.51,0.15,69.70,0.00,100.00,0.00,0.00,0.00,0.00,76.19,52.25,4.56 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.44,2.83,0.16,1.12,0.00,1.47,1.00,0.11,0.0000,0.0013,   720,13.99,86.01,0.00,0.00,0.00,50,1147.30,405.25,2597.21,5.66,141.56,0.88,22.09,
2024-03-04,13:59:23.782,0.14,2.25,0.06,1.12,0.12,12.19,0.99,0.43,0.0000,0.0017, 19720,0.76,0.58,99,45,7369.29,3269.39,2596.66,4.51,112.70,0.28,7.10,0.03,1.55,0.02,1.21,0.01,1.85,1.00,0.38,0.0000,0.0011, 23480,0.35,0.01,96,45,1666.99,1072.89,2596.66,3.11,77.69,0.06,1.60,5.64,77.48,0.01,16.86,0.00,100.00,0.00,0.00,0.00,0.00,1.71,29.17,0.14,68.98,0.00,100.00,0.00,0.00,0.00,0.00,76.40,52.47,4.57 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.43,2.82,0.15,1.12,0.00,1.48,1.00,0.11,0.0000,0.0013,   600,13.64,86.36,0.00,0.00,0.00,50,1114.50,395.06,2596.66,5.64,141.06,0.86,21.46,
2024-03-04,13:59:24.782,0.15,2.23,0.07,1.12,0.12,12.52,0.99,0.42,0.0000,0.0017, 19640,0.76,0.58,99,45,7575.63,3390.75,2596.87,4.47,111.71,0.29,7.29,0.03,1.62,0.02,1.22,0.01,1.85,1.00,0.38,0.0000,0.0011, 23920,0.35,0.01,95,45,1652.46,1021.27,2596.87,3.24,80.90,0.06,1.59,5.85,77.34,0.02,16.79,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.64,0.16,69.59,0.00,100.00,0.00,0.00,0.00,0.00,76.46,52.25,4.56 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.44,2.80,0.16,1.12,0.00,1.52,1.00,0.11,0.0000,0.0013,   680,14.14,85.86,0.00,0.00,0.00,49,1147.03,409.52,2596.87,5.60,140.05,0.88,22.08,
2024-03-04,13:59:25.782,0.15,2.29,0.06,1.12,0.12,12.58,0.99,0.41,0.0000,0.0017, 20800,0.76,0.57,99,45,7592.90,3316.57,2597.30,4.58,114.47,0.29,7.31,0.03,1.57,0.02,1.22,0.01,1.89,0.99,0.39,0.0000,0.0012, 24040,0.35,0.01,96,45,1636.05,1043.81,2597.30,3.13,78.37,0.06,1.57,5.72,77.57,0.03,16.67,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.62,0.18,69.56,0.00,100.00,0.00,0.00,0.00,0.00,76.58,52.24,4.56 ,4.37 ,534708.73 ,533763.19 ,3.00,3.00,0.44,2.84,0.15,1.12,0.00,1.54,1.00,0.11,0.0000,0.0013,   720,13.89,86.11,0.00,0.00,0.00,50,1141.40,402.46,2597.30,5.67,141.80,0.88,21.97,
2024-03-04,13:59:26.783,0.14,2.20,0.06,1.12,0.13,12.20,0.99,0.42,0.0000,0.0017, 20720,0.76,0.57,99,46,7273.76,3303.45,2599.84,4.40,110.09,0.28,7.00,0.03,1.64,0.02,1.22,0.01,1.88,1.00,0.38,0.0000,0.0011, 24560,0.35,0.01,96,45,1651.43,1007.99,2599.84,3.28,81.92,0.06,1.59,5.70,77.12,0.01,17.17,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.33,0.15,69.93,0.00,100.00,0.00,0.00,0.00,0.00,76.53,52.37,4.56 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.43,2.80,0.15,1.12,0.00,1.48,1.00,0.11,0.0000,0.0013,   640,13.67,86.33,0.00,0.00,0.00,49,1108.86,396.37,2599.84,5.60,139.88,0.85,21.33,
2024-03-04,13:59:27.783,0.15,2.29,0.06,1.12,0.12,12.65,0.99,0.42,0.0000,0.0017, 20480,0.76,0.57,99,45,7635.50,3332.47,2596.84,4.58,114.56,0.29,7.35,0.03,1.63,0.02,1.22,0.01,1.89,1.00,0.38,0.0000,0.0011, 24880,0.35,0.01,95,44,1676.50,1028.63,2596.84,3.26,81.49,0.06,1.61,5.75,77.20,0.02,17.03,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.30,0.17,69.91,0.00,100.00,0.00,0.00,0.00,0.00,76.60,52.36,4.57 ,4.36 ,0.23 ,0.00 ,3.00,3.00,0.44,2.85,0.16,1.12,0.00,1.55,1.00,0.11,0.0000,0.0013,   760,13.96,86.04,0.00,0.00,0.00,48,1151.70,404.21,2596.84,5.70,142.46,0.89,22.18,
2024-03-04,13:59:28.783,0.15,2.21,0.07,1.12,0.16,12.82,0.99,0.42,0.0000,0.0017, 20320,0.74,0.58,98,46,7645.83,3456.33,2596.97,4.42,110.61,0.29,7.36,0.03,1.44,0.02,1.20,0.10,2.36,0.96,0.41,0.0001,0.0015, 23640,0.43,0.05,93,45,1614.49,1120.04,2596.97,2.88,72.07,0.06,1.55,5.97,77.99,0.08,15.96,0.00,100.00,0.00,0.00,0.00,0.00,1.80,31.55,0.34,66.31,0.00,100.00,0.00,0.00,0.00,0.00,77.18,53.31,4.55 ,4.42 ,0.33 ,0.00 ,3.00,3.00,0.44,2.81,0.16,1.12,0.00,1.55,1.00,0.12,0.0000,0.0014,  1000,14.01,85.99,0.00,0.00,0.00,48,1140.30,405.87,2596.97,5.62,140.47,0.88,21.95,
