System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,13:59:19.969,0.21,2.89,0.07,1.12,0.12,8.63,0.99,0.34,0.0000,0.0008, 18840,0.30,0.23,99,46,10799.32,3737.96,2601.00,5.78,144.45,0.42,10.38,0.05,1.49,0.03,1.17,0.07,2.28,0.97,0.91,0.0000,0.0009, 23320,0.15,0.01,94,46,2543.91,1701.66,2601.00,2.99,74.75,0.10,2.45,6.44,68.78,0.03,24.75,0.00,100.00,0.00,0.00,0.00,0.00,2.79,36.48,0.20,60.53,0.00,100.00,0.00,0.00,0.00,0.00,73.84,56.83,4.35 ,4.35 ,932526.84 ,942845.59 ,3.00,3.00,0.63,3.20,0.20,1.12,0.01,1.32,0.99,0.11,0.0000,0.0008,  4680,17.60,82.40,0.00,0.00,0.00,52,1634.42,510.46,2601.00,6.40,160.09,1.26,31.42,
2024-03-04,13:59:20.969,0.14,2.22,0.06,1.12,0.13,11.82,0.99,0.43,0.0000,0.0016, 19080,0.78,0.59,99,47,7274.85,3279.97,2596.40,4.44,110.90,0.28,7.00,0.03,1.65,0.02,1.22,0.02,1.93,0.99,0.38,0.0000,0.0012, 23600,0.37,0.01,96,45,1674.46,1014.18,2596.40,3.30,82.55,0.06,1.61,5.66,77.21,0.01,17.11,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.45,0.16,69.79,0.00,100.00,0.00,0.00,0.00,0.00,75.88,52.15,4.55 ,4.37 ,0.33 ,0.00 ,3.00,3.00,0.41,2.66,0.15,1.12,0.01,1.85,1.00,0.10,0.0000,0.0018,  4960,13.72,86.28,0.00,0.00,0.00,51,1056.69,397.22,2596.40,5.32,133.01,0.81,20.35,
2024-03-04,13:59:21.969,0.14,2.21,0.06,1.12,0.14,12.31,0.99,0.42,0.0000,0.0017, 19760,0.78,0.59,99,46,7432.97,3366.40,2598.68,4.42,110.40,0.29,7.15,0.03,1.61,0.02,1.22,0.01,1.87,0.99,0.38,0.0000,0.0011, 23360,0.35,0.01,96,46,1656.85,1031.79,2598.68,3.21,80.29,0.06,1.59,5.81,77.10,0.02,17.07,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.26,0.16,69.96,0.00,100.00,0.00,0.00,0.00,0.00,76.12,52.16,4.56 ,4.37 ,0.33 ,0.00 ,3.00,3.00,0.41,2.68,0.15,1.12,0.01,1.91,1.00,0.10,0.0000,0.0018,  4160,13.88,86.12,0.00,0.00,0.00,51,1077.85,402.28,2598.68,5.36,133.97,0.83,20.74,
2024-03-04,13:59:22.969,0.14,2.19,0.06,1.12,0.14,12.21,0.99,0.42,0.0000,0.0017, 19640,0.77,0.58,99,46,7389.72,3372.81,2596.15,4.38,109.55,0.28,7.12,0.03,1.53,0.02,1.21,0.01,1.86,0.99,0.38,0.0000,0.0011, 24040,0.35,0.01,95,46,1641.10,1072.11,2596.15,3.06,76.54,0.06,1.58,5.82,77.22,0.03,16.93,0.00,100.00,0.00,0.00,0.00,0.00,1.71,29.34,0.15,68.80,0.00,100.00,0.00,0.00,0.00,0.00,76.16,52.45,4.55 ,4.37 ,0.00 ,0.00 ,3.00,3.00,0.41,2.66,0.16,1.12,0.01,1.91,1.00,0.10,0.0000,0.0018,  3840,13.91,86.09,0.00,0.00,0.00,51,1071.76,402.90,2596.15,5.32,133.01,0.83,20.64,
2024-03-04,13:59:23.970,0.14,2.29,0.06,1.12,0.12,12.24,0.99,0.42,0.0000,0.0017, 19760,0.76,0.58,99,46,7391.08,3229.79,2598.66,4.58,114.42,0.28,7.11,0.03,1.66,0.02,1.22,0.01,1.85,0.99,0.38,0.0000,0.0011, 23520,0.35,0.01,96,45,1651.48,997.25,2598.66,3.31,82.80,0.06,1.59,5.57,77.56,0.01,16.86,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.41,0.13,69.89,0.00,100.00,0.00,0.00,0.00,0.00,76.46,52.27,4.58 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.41,2.70,0.15,1.12,0.01,1.91,1.00,0.10,0.0000,0.0018,  4160,13.50,86.50,0.00,0.00,0.00,51,1057.24,391.30,2598.66,5.40,135.09,0.81,20.34,
2024-03-04,13:59:24.970,0.14,2.22,0.06,1.12,0.12,12.41,0.99,0.42,0.0000,0.0017, 19440,0.76,0.57,99,46,7464.88,3368.68,2596.84,4.43,110.80,0.29,7.19,0.03,1.57,0.02,1.21,0.01,1.86,0.99,0.38,0.0000,0.0011, 24200,0.35,0.01,96,45,1655.65,1055.10,2596.84,3.14,78.46,0.06,1.59,5.82,77.62,0.03,16.53,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.91,0.17,69.25,0.00,100.00,0.00,0.00,0.00,0.00,76.53,52.29,4.55 ,4.37 ,0.17 ,0.17 ,3.00,3.00,0.41,2.66,0.15,1.12,0.01,1.94,1.00,0.10,0.0000,0.0018,  4200,13.88,86.12,0.00,0.00,0.00,50,1070.25,402.15,2596.84,5.32,133.07,0.82,20.61,
2024-03-04,13:59:25.969,0.15,2.26,0.06,1.12,0.12,12.69,0.99,0.41,0.0000,0.0017, 19160,0.76,0.57,99,46,7618.08,3370.09,2596.51,4.52,113.02,0.29,7.33,0.03,1.66,0.02,1.22,0.01,1.83,1.00,0.38,0.0000,0.0011, 24920,0.35,0.01,96,44,1644.40,991.49,2596.51,3.32,82.93,0.06,1.58,5.82,77.26,0.01,16.91,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.46,0.15,69.83,0.00,100.00,0.00,0.00,0.00,0.00,76.48,52.25,4.56 ,4.36 ,0.33 ,0.33 ,3.00,3.00,0.42,2.70,0.16,1.12,0.01,1.98,1.00,0.10,0.0000,0.0018,  3560,14.03,85.97,0.00,0.00,0.00,50,1098.49,406.23,2596.51,5.41,135.20,0.85,21.15,
2024-03-04,13:59:26.969,0.14,2.25,0.06,1.12,0.12,12.36,0.99,0.42,0.0000,0.0017, 20600,0.76,0.57,99,46,7456.74,3317.53,2596.85,4.50,112.38,0.29,7.18,0.03,1.53,0.02,1.21,0.02,2.00,0.99,0.37,0.0000,0.0012, 24680,0.35,0.01,95,45,1633.72,1064.89,2596.85,3.07,76.71,0.06,1.57,5.73,77.15,0.02,17.10,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.30,0.17,69.84,0.00,100.00,0.00,0.00,0.00,0.00,76.54,52.34,4.56 ,4.37 ,0.33 ,0.33 ,3.00,3.00,0.42,2.73,0.15,1.12,0.01,1.93,1.00,0.10,0.0000,0.0018,  4360,13.68,86.32,0.00,0.00,0.00,49,1080.12,396.18,2596.85,5.45,136.32,0.83,20.80,
2024-03-04,13:59:27.971,0.14,2.23,0.06,1.12,0.14,12.31,0.99,0.43,0.0000,0.0017, 20200,0.76,0.58,99,46,7406.25,3326.64,2600.31,4.45,111.32,0.28,7.12,0.03,1.51,0.02,1.20,0.06,2.41,0.97,0.42,0.0000,0.0014, 24840,0.40,0.04,93,45,1710.19,1133.52,2600.31,3.02,75.44,0.07,1.64,5.73,78.21,0.08,15.97,0.00,100.00,0.00,0.00,0.00,0.00,1.81,30.80,0.31,67.07,0.00,100.00,0.00,0.00,0.00,0.00,76.94,53.19,4.57 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.41,2.69,0.15,1.12,0.01,1.90,1.00,0.10,0.0000,0.0018,  4200,13.62,86.38,0.00,0.00,0.00,50,1063.60,394.94,2600.31,5.39,134.65,0.82,20.45,
